PC1,PC2,PC3
-2.2500295140858975,-0.8516201332807953,-0.2256711812628118
-0.25265994769779665,0.35009005661056597,1.074253013624971
-1.3253743360037509,0.7101674160815886,1.1001915035333518
-1.3877422447941847,2.6602770064530046,0.17411868449136114
0.5500124669297499,0.8643036417851937,1.9209333071033696
1.7230544318159655,0.7291722873475878,0.3570357967929487
3.2720563266221103,1.1185894426529528,1.296191803727883
-0.18874758334551442,-0.3182019786105452,-1.314728750709348
1.5547026172114078,-0.6733936153088341,-0.4851011516135082
-1.3426992516084093,1.1736983780721182,1.6119467835959134
-1.940957640327567,0.08299379870496573,0.6394430877376209
-2.2610516381259527,-1.2772484541406313,-0.2774232716929661
1.3268317760674464,-0.4746830526740611,0.67075023694241
0.44731418934634665,-0.34741656241846364,0.16839348133520862
-1.3128916289380836,-0.9202588760943476,-0.5706347856717316
2.0487303743399154,0.31780949621831234,0.7991842339316771
-0.046068537500572264,-0.9802694022116819,-1.2342109274049875
0.9808963253094896,-1.129133062773209,-1.3583755970364362
1.881870607648918,0.6581768552236276,-1.1902528914470756
1.1647458801132742,1.1341581106564393,1.0637534831803588
-1.21424044766132,-0.40074460835206877,-0.3655727338332214
0.23542932803115219,1.2801398828570998,0.3312756072526657
2.149231066984234,0.9313860665617606,0.7696801751654971
3.386832788689738,0.7281944952522252,-0.41571174443421044
0.6381676848230591,0.09034661733061748,1.3325838455480319
-2.381725137128389,1.4004588786527863,-1.0502067548714538
-2.456528496539605,0.22588657525785852,-0.2978327165441336
0.6867590598292799,0.9365063428512913,-1.7919190332250627
0.04753103482860212,-0.15165263155798694,-0.6211920508355179
0.3450519072062355,-0.8935720241784375,-1.441200062994405
2.0206579567592136,-1.8390494757993718,-1.0460244023000855
0.8386513472846167,-0.24273944574547784,0.23737782451339567
-4.040233632631683,3.31014522415591,0.6017850765710397
-1.0858015406477912,-1.8017570883058607,0.8007504763381682
3.1904541944483324,-0.4636658576730125,-1.6567740100374433
-2.6125834774894066,-0.5004557156535229,1.6016644745672224
2.6399620036572142,0.4946054229934366,0.9127405284645506
-2.884605552138732,1.692581959021163,0.34589157701072865
1.4933432947256324,0.9001640694752873,1.6901191211380338
2.0805453659591664,0.13201613911363763,0.6541523474472233
0.8577655499675297,-0.5548100863612454,-0.9827981242241586
-1.0497306675869171,1.6161583908950519,0.9864206777327298
0.1243104643720293,0.7785227897346154,1.9212910793963667
-0.558565738840874,-1.8542084490922401,-0.3594955738082641
-0.9771084698115381,0.22208306959697535,-0.08923860815644817
0.19408134815766745,2.7933801511879244,-2.2960207669704236
2.6750443861051285,0.6869487826355962,-0.2234470057318991
1.3682381795053005,0.20057576926246723,-0.8460455653190023
3.7738879225023316,1.5332860683293583,1.1509476080548022
-0.27141532519904815,1.25715730345107,0.5318850838268746
1.1386127151669394,-0.6548819734975391,-0.6931881131407176
-0.5330651639303697,1.4900108405720465,-1.2659817624062075
-0.9347597106932077,0.5859455370432358,0.9650180561842475
0.04282787896351966,-0.4614026212973372,0.5972267101805104
-0.7759033983204947,0.6432471527804751,0.32539239155392546
-5.132986632269648,-0.36443842038260116,-1.614126637087415
0.4100288292667806,1.0373786132030156,0.146191053022019
1.3375331078966453,0.5406417084849989,-1.218688227094842
